0, 1520530775.392770051, 1520530775.393073081
0, 1520530775.392874956, 1520530775.393292903
0, 1520530775.393107891, 1520530775.393399953
0, 1520530775.393270969, 1520530775.393449068
0, 1520530775.393421888, 1520530775.393601894
0, 1520530775.393558979, 1520530775.393738985
0, 1520530775.393717050, 1520530775.393887042
0, 1520530775.393829107, 1520530775.394057035
0, 1520530775.393969058, 1520530775.394237995
0, 1520530775.394107103, 1520530775.394356966
0, 1520530775.394232034, 1520530775.394481897
1, 1520530775.394354104, 1520530775.394571065
1, 1520530775.394469022, 1520530775.394623994
1, 1520530775.394570112, 1520530775.394757986
1, 1520530775.394712924, 1520530775.394963979
1, 1520530775.394850015, 1520530775.395014047
1, 1520530775.394977092, 1520530775.395186901
1, 1520530775.395059108, 1520530775.395248889
1, 1520530775.395160913, 1520530775.395364999
1, 1520530775.395318031, 1520530775.395526885
1, 1520530775.395492076, 1520530775.395663022
1, 1520530775.395617961, 1520530775.395797014
2, 1520530775.395768880, 1520530775.395956039
2, 1520530775.395905017, 1520530775.396125078
2, 1520530775.396013975, 1520530775.396195888
2, 1520530775.396183013, 1520530775.396339893
2, 1520530775.396315097, 1520530775.396559000
2, 1520530775.396423101, 1520530775.396634101
2, 1520530775.396565914, 1520530775.396727085
2, 1520530775.396672964, 1520530775.396859884
2, 1520530775.396768093, 1520530775.396920919
2, 1520530775.396866083, 1520530775.397047996
2, 1520530775.396944999, 1520530775.397109985
3, 1520530775.397072076, 1520530775.397253990
3, 1520530775.397208929, 1520530775.397420883
3, 1520530775.397311925, 1520530775.397480964
3, 1520530775.397450923, 1520530775.397617101
3, 1520530775.397571086, 1520530775.397711038
3, 1520530775.397664070, 1520530775.397815942
3, 1520530775.397783041, 1520530775.397913932
3, 1520530775.398015022, 1520530775.398327112
3, 1520530775.398287057, 1520530775.398519992
3, 1520530775.398401021, 1520530775.398623943
3, 1520530775.398546934, 1520530775.398787021
4, 1520530775.398658990, 1520530775.398827075
4, 1520530775.398803949, 1520530775.399065971
4, 1520530775.398910045, 1520530775.399123907
4, 1520530775.399049997, 1520530775.399297952
4, 1520530775.399117946, 1520530775.399363040
4, 1520530775.399223089, 1520530775.399468898
4, 1520530775.399303913, 1520530775.399569988
4, 1520530775.399442911, 1520530775.399635076
4, 1520530775.399560928, 1520530775.399818897
4, 1520530775.399667978, 1520530775.399857997
4, 1520530775.399743080, 1520530775.400019884
5, 1520530775.399883031, 1520530775.400099039
5, 1520530775.400017976, 1520530775.400161981
5, 1520530775.400165081, 1520530775.400335073
5, 1520530775.400227069, 1520530775.400389909
5, 1520530775.400351047, 1520530775.400491952
5, 1520530775.400440931, 1520530775.400641918
5, 1520530775.400549888, 1520530775.400770902
5, 1520530775.400650024, 1520530775.400839090
5, 1520530775.400744915, 1520530775.400899887
5, 1520530775.400831937, 1520530775.401004076
5, 1520530775.400923013, 1520530775.401086091
6, 1520530775.401046037, 1520530775.401230096
6, 1520530775.401125907, 1520530775.401283025
6, 1520530775.401213884, 1520530775.401429891
6, 1520530775.401303052, 1520530775.401483058
6, 1520530775.401400089, 1520530775.401559114
6, 1520530775.401514053, 1520530775.401772022
6, 1520530775.401603937, 1520530775.401844024
6, 1520530775.401684999, 1520530775.401904106
6, 1520530775.401793003, 1520530775.401967048
6, 1520530775.401881933, 1520530775.402029991
6, 1520530775.401988029, 1520530775.402146100
7, 1520530775.402065038, 1520530775.402261972
7, 1520530775.402170896, 1520530775.402348041
7, 1520530775.402285099, 1520530775.402447938
7, 1520530775.402363061, 1520530775.402534961
7, 1520530775.402489900, 1520530775.402609109
